title,index_type,link,score,query
Internet Explorer compromise,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,modload:vgx.dll AND process_name:iexplore.exe AND modload:*.ocx AND childproc_name:*.dll -alliance_score_deloitteexceptions:[1 TO *]
Not signed binaries initiating connections to public IPs,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,netconn_count:[1 TO *] AND -digsig_result:signed AND (ipaddr:[0.0.0.0 to 9.255.255.255] OR ipaddr:[11.0.0.0 to 100.63.255.255] OR ipaddr:[100.128.0.0 to 127.0.0.0] OR ipaddr:[127.0.0.2 to 127.255.255.255] OR ipaddr:[128.0.0.0 to 172.15.255.255] OR ipaddr:[172.32.0.0 to 191.255.255.255] OR ipaddr:[193.0.0.0 to 192.167.255.255] OR ipaddr:[192.169.0.0 to 198.17.255.255] OR ipaddr:[198.20.0.0 to 255.255.255.255])  AND os_type:windows -alliance_score_deloitteexceptions:[1 TO *]
Unsigned binaries initiating connections to public IPs,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,netconn_count:[1 TO *] AND digsig_result:Unsigned AND (ipaddr:[0.0.0.0 to 9.255.255.255] OR ipaddr:[11.0.0.0 to 100.63.255.255] OR ipaddr:[100.128.0.0 to 127.0.0.0] OR ipaddr:[127.0.0.2 to 127.255.255.255] OR ipaddr:[128.0.0.0 to 172.15.255.255] OR ipaddr:[172.32.0.0 to 191.255.255.255] OR ipaddr:[193.0.0.0 to 192.167.255.255] OR ipaddr:[192.169.0.0 to 198.17.255.255] OR ipaddr:[198.20.0.0 to 255.255.255.255] OR ipaddr:[64.53.32.192 to 64.53.32.192])  AND os_type:windows -alliance_score_deloitteexceptions:[1 TO *]
Process spawned via Acrobat,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,parent_name:acrord32.exe -alliance_score_deloitteexceptions:[1 TO *]
Process spawned via browser,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,parent_name:chrome.exe OR parent_name:iexplore.exe OR parent_name:firefox.exe -alliance_score_deloitteexceptions:[1 TO *]
Process spawned via Java,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,parent_name:java.exe -alliance_score_deloitteexceptions:[1 TO *]
Process spawned via Javaw,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,parent_name:javaw.exe -alliance_score_deloitteexceptions:[1 TO *]
Process spawned via Outlook,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,parent_name:outlook.exe -alliance_score_deloitteexceptions:[1 TO *]
Process spawned via Services.exe with >1 network connection,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,parent_name:services.exe AND netconn_count:[1 TO *] -alliance_score_deloitteexceptions:[1 TO *]
Wininit started by something other than smss.exe,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,-parent_name:smss.exe AND parent_name:* AND process_name:wininit.exe -alliance_score_deloitteexceptions:[1 TO *]
Unsigned binaries started by taskeng.exe that have network communications with public IP space,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,parent_name:taskeng.exe AND netconn_count:[1 TO *] AND -digsig_result:signed AND (ipaddr:[0.0.0.0 to 9.255.255.255] OR ipaddr:[11.0.0.0 to 100.63.255.255] OR ipaddr:[100.128.0.0 to 127.0.0.0] OR ipaddr:[127.0.0.2 to 127.255.255.255] OR ipaddr:[128.0.0.0 to 172.15.255.255] OR ipaddr:[172.32.0.0 to 191.255.255.255] OR ipaddr:[193.0.0.0 to 192.167.255.255] OR ipaddr:[192.169.0.0 to 198.17.255.255] OR ipaddr:[198.20.0.0 to 255.255.255.255])  AND os_type:windows -alliance_score_deloitteexceptions:[1 TO *]  -alliance_score_deloitteexceptions:[1 TO *]
Taskeng.exe starting at.exe or schtasks.exe,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,parent_name:taskeng.exe OR process_name:at.exe OR process_name:schtasks.exe -alliance_score_deloitteexceptions:[1 TO *]
Process spawned via Word,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,parent_name:winword.exe -alliance_score_deloitteexceptions:[1 TO *]
"Process spawned via Word, Excel, PowerPoint, or Acrobat Reader",events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,parent_name:winword.exe OR parent_name:excel.exe OR parent_name:powerpnt.exe OR parent_name:AcroRd32.exe -alliance_score_deloitteexceptions:[1 TO *]
Unsigned binaries executed from drives other than C or D,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,-path:C* and -path:D* AND -digsig_result:'Signed' -alliance_score_deloitteexceptions:[1 TO *]
Execution from RECYCLER,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,path:RECYCLER/*.exe -alliance_score_deloitteexceptions:[1 TO *]
Execution from System Volume Information,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,path:System\ Volume\ Information* -alliance_score_deloitteexceptions:[1 TO *]
Execution from Windows/IME,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,path:Windows/IME/*.exe -alliance_score_deloitteexceptions:[1 TO *]
Enumeration of user sessions,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,path:windows/system32/quser.exe -alliance_score_deloitteexceptions:[1 TO *]
Suspicious filename (extension hiding),events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:*.txt.exe OR process_name:*.pdf.exe OR process_name:*.rtf.exe OR process_name:*.jpg.exe OR process_name:*.xml.exe OR process_name:*.gif.exe OR process_name:*.htm.exe OR process_name:*.html.exe OR process_name:*.zip.exe -alliance_score_deloitteexceptions:[1 TO *]
Scheduled task execution,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:at.exe OR process_name:schtask.exe -alliance_score_deloitteexceptions:[1 TO *]
CMD shell spawned by Excel,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:cmd.exe parent_name:excel.exe -alliance_score_deloitteexceptions:[1 TO *]
Typical troubleshooting / enumeration tools,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:enum.exe OR process_name:sc.exe OR process_name:netsh.exe OR process_name:arp.exe OR process_name:nmap.exe OR process_name:tasklist.exe OR process_name:tracert.exe OR process_name:ping.exe OR process_name:netstat.exe -alliance_score_deloitteexceptions:[1 TO *]
Regedit spawned by process other than explorer,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,(-process_name:explorer.exe AND (childproc_name:regedit.exe OR childproc_name:regedt32.exe)) -alliance_score_deloitteexceptions:[1 TO *]
FTP usage,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:ftp.exe -alliance_score_deloitteexceptions:[1 TO *]
Internet Explorer run by SYSTEM,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:iexplore.exe username:system -alliance_score_deloitteexceptions:[1 TO *]
Suspicious filename (misspelled system files),events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:isass.exe OR process_name:svch0st.exe OR process_name:svchost.dll OR process_name:lexplore.exe OR process_name:lexplorer.exe OR process_name:svchosts.exe OR process_name:csrsr.exe -alliance_score_deloitteexceptions:[1 TO *]
RDP sessions to external IP space,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:mstsc.exe AND (ipaddr:[0.0.0.0 to 9.255.255.255] OR ipaddr:[11.0.0.0 to 100.63.255.255] OR ipaddr:[100.128.0.0 to 127.0.0.0] OR ipaddr:[127.0.0.2 to 127.255.255.255] OR ipaddr:[128.0.0.0 to 172.15.255.255] OR ipaddr:[172.32.0.0 to 191.255.255.255] OR ipaddr:[193.0.0.0 to 192.167.255.255] OR ipaddr:[192.169.0.0 to 198.17.255.255] OR ipaddr:[198.20.0.0 to 255.255.255.255]) AND -ipaddr:[64.53.32.0 to 64.53.32.254]) -alliance_score_deloitteexceptions:[1 TO *]
Net.exe started by process other than gpshell.exe,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:net.exe -parent_name:gpshell.exe -alliance_score_deloitteexceptions:[1 TO *]
Notepad spawning child process,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:notepad.exe AND childproc_name:*.exe -alliance_score_deloitteexceptions:[1 TO *]
Powershell spawning dllhost.exe,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:powershell.exe AND childproc_name:dllhost.exe -alliance_score_deloitteexceptions:[1 TO *]
Powershell Bypass,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:powershell.exe and cmdline:bypass -alliance_score_deloitteexceptions:[1 TO *]
Powershell Encoded Command,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:powershell.exe and cmdline:-encodedcommand -alliance_score_deloitteexceptions:[1 TO *]
Powershell IEX,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:powershell.exe AND cmdline:iex -alliance_score_deloitteexceptions:[1 TO *]
Powershell started by rundll32.exe,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:powershell.exe AND parent_name:rundll32.exe -alliance_score_deloitteexceptions:[1 TO *]
Powershell Download,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:powershell.exe cmdline:net.webclient\).downloadstring\(http: -alliance_score_deloitteexceptions:[1 TO *]
Powershell started by process other than explorer or gpscript,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:powershell.exe -parent_name:explorer.exe -parent_name:gpscript.exe -alliance_score_deloitteexceptions:[1 TO *]
RAR usage,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:rar.exe -alliance_score_deloitteexceptions:[1 TO *]
Robocopy usage,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:robocopy.exe -alliance_score_deloitteexceptions:[1 TO *]
Runas usage,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:runas.exe OR cmdline:runas -alliance_score_deloitteexceptions:[1 TO *]
Rundll32 usage,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:rundll32.exe -alliance_score_deloitteexceptions:[1 TO *]
Rundll32 used to run html,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"process_name:rundll32.exe AND cmdline:”mshtml,runhtmlapplication” -alliance_score_deloitteexceptions:[1 TO *]"
Rundll32 used to run javascript,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"process_name:rundll32.exe cmdline:""javascript:\"""" -alliance_score_deloitteexceptions:[1 TO *]"
Smss started by suspicious process,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:smss.exe AND parent_name:* AND -parent_name:smss.exe AND -parent_name:ntkrnlpa.exe AND -parent_name:ntoskrnl.exe -alliance_score_deloitteexceptions:[1 TO *]
Svchost with unusual username,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"process_name:svchost.exe (-username:SYSTEM OR -username:""NETWORK SERVICE"" OR -username:""LOCAL SERVICE"") -alliance_score_deloitteexceptions:[1 TO *]"
WMIC usage,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:wmic.exe -alliance_score_deloitteexceptions:[1 TO *]
Wscript usage,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:wscript.exe -alliance_score_deloitteexceptions:[1 TO *]
Registry modification to context menu,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"regmod:""software\classes\*"" AND regmod:""shellex\contextmenuhandlers"" -alliance_score_deloitteexceptions:[1 TO *]"
Startup Registry Modification (Run),events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"regmod:""software\microsoft\windows\currentversion\run"" -alliance_score_deloitteexceptions:[1 TO *]"
Startup Registry Modification (RunOnce),events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"regmod:""software\microsoft\windows\currentversion\runonce"" -alliance_score_deloitteexceptions:[1 TO *]"
Registry modification to Hidden entry by process other than explorer,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,regmod:\registry\user\*\software\microsoft\windows\CurrentVersion\Explorer\Advanced\Hidden And -process_name:explorer.exe -alliance_score_deloitteexceptions:[1 TO *]
Registry modification to UILanguages,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,regmod:control\MUI\UILanguages\* -alliance_score_deloitteexceptions:[1 TO *]
Startup Registry Modification (Run*),events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,regmod:CurrentVersion\Run* -alliance_score_deloitteexceptions:[1 TO *]
Windows Credential Editor usage,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:wce.exe -alliance_score_deloitteexceptions:[1 TO *]
Powershell creating remote threads,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"crossproc_type:""remotethread"" process_name:powershell.exe -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Malware KeRanger 1,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:kernel_service AND childproc_name:kernel_service -alliance_score_deloitteexceptions:[1 TO *]
Mac-Malware KeRanger 2,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,process_name:Transmission AND filemod:kernel_service -alliance_score_deloitteexceptions:[1 TO *]
Mac-Malware KeRanger 3,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,filemod:.kernel_pid AND filemod:kernel_time -alliance_score_deloitteexceptions:[1 TO *]
Mac-Active Malware Ransomware,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"filemod_count:[5000 TO *] -process_name:""Google Chrome"" -process_name:ditto -process_name:installd -process_name:backupd -process_name:mds -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd commands dscl 1,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" cmdline:""dscl .read /Users"" cmdline:dsAttrTypeNative:ShadowHashData  -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd commands dscl 2,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" cmdline:""dscl .read /Users"" -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd commands dscl 3,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" cmdline:""dscl localhost -passwd /Search/Users/""  -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd commands chmod 1,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" cmdline:""chmod +s "" OR cmdline:""/bin/chmod +s"" -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd Paths trashes,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" path:.Trashes/* -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd Paths trashes with netcon,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" path:.Trashes/* netconn_count:[1 TO *]  -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd Paths Trash,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" path:.Trash/* -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd Paths Trash with netcon,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" path:.Trash/* netconn_count:[1 TO *]  -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd Parents firefox,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" process_name:sh parent_process:Firefox -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd Parents safari,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" process_name:sh parent_process:Safari -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd Parents chrome,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" process_name:sh parent_name:""Google Chrome""  -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd commands who,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" process_name:who -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd commands id,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" process_name:id -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd commands printf,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" process_name:printf -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd commands telnet,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" process_name:telnet -alliance_score_deloitteexceptions:[1 TO *]"
"Mac-Odd commands dscl, any",events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" process_name:dscl -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd Actions chrome,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" filemod:Application\ Support/Google/Chrome/Default/Preferences AND filemod:Application\ Support/Google/Chrome/Default/Extensions/*/manifest.json and -path:""/Applications/Google Chrome.app/Contents/MacOS/Google Chrome"" AND -path:/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds -alliance_score_deloitteexceptions:[1 TO *]"
Mac-Odd Actions,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"os_type:""osx"" filemod:Library/Safari/Extensions and filemod:Library/Safari/Extensions/extension.safariextz -alliance_score_deloitteexceptions:[1 TO *]"
